Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,-2,9,7.970907457559279e-05,1.3729772450672288e-05,4.609314410322714e-06,355167221
0,-2,10,7.938635001932032e-05,1.022529632429007e-05,2.5178408085003657e-06,2100545649
0,-2,11,0.0002717657656040822,2.0721404853234823e-05,1.7394659189006712e-06,787177315
0,-2,12,0.00014346298162504597,2.0437617325076844e-05,1.6039802368766413e-06,235134210
0,-1,1,0.0001675069175448853,5.9947539117658496e-05,9.727322630920765e-05,1661488446
0,-1,2,2.0613815738765176e-05,7.602287225945856e-06,1.0810514123120134e-05,502542179
0,-1,4,1.8314290200832726e-05,8.177897246799651e-06,1.3904858995423385e-06,814641617
0,-1,5,1.6651700494533425e-05,7.39869447410881e-06,2.425567728352433e-06,482458128
0,-1,6,2.7660644992932974e-05,1.3609341493897806e-05,1.821471171572708e-06,1764246598
0,-1,7,4.79635777324939e-05,2.600352460495531e-05,2.062696299628425e-06,1986370869
0,-1,8,8.421764756545536e-05,3.285036956503278e-05,1.3629093348891714e-06,406647778
